iso3_country,emissions_quantity_sum_norm,emissions_change_norm,distance
NZL,-0.1817783037397642,0.07495711181404967,6.38959618859818
OMN,-0.14456861539298377,0.07820299157327276,6.353807596741208
PAK,0.03629627718921088,0.23833305969494578,6.212163623381838
PAN,-0.19802142771054168,0.07433071396577853,6.4053829594113525
PER,-0.13319544690312712,0.08393005761460877,6.343836122078884
PHL,-0.006568378991426751,0.17803209800261185,6.240170757780028
PLW,-0.20527675144138047,0.07300470293632148,6.4122258574213
PNG,-0.19600877324967342,0.074977449406526,6.403540862224722
POL,0.32705364559876776,0.12077770766323292,5.902198604201305
PRK,-0.1969994207965682,0.0688802391821207,6.403291274772322
PRT,-0.14067542708336553,0.032846092832549946,6.340952648330908
PSE,-0.20442028085854355,0.07346026500779139,6.41147784349056
PYF,-0.20453492247917537,0.07322841645356117,6.411543775796769
QAT,-0.12942718197383865,0.08441002479705027,6.340245001500304
REU,-0.19733460616272047,0.07413140555951045,6.404670127293757
ROU,-0.14104145772861157,0.02126586767652467,6.33905295631589
RUS,1.764520764566025,0.07733254261528562,4.500751163572583
RWA,-0.20446963330509357,0.07359042559963994,6.4115522453032385
SAU,0.7899297277034818,0.030767590881468486,5.430971135404177
SDN,-0.18986953453404407,0.07980966137890325,6.398498510432281
SEN,-0.19645037482869918,0.07179664994322717,6.403336235328405
SGP,-0.1279800242963561,0.07644175606482213,6.337206534756004
SHN,-0.2057491982995,0.07300063541782621,6.412687944530216
SLB,-0.20547364713959568,0.07303724308428362,6.412425282927924
SLE,-0.20555127442531498,0.07272811167864332,6.412439518528401
SLV,-0.19742765608798668,0.0718780003131325,6.404310030172524
SOM,-0.20475135352081664,0.07313079600967476,6.411736301185412
SPM,-0.20562376083118533,0.07300877045481675,6.412566668547791
SRB,-0.11081154195276562,0.05777998120853693,6.316625606793051
SSD,-0.20414781422654862,0.07298436534384514,6.411115668579021
STP,-0.2055368799617379,0.07304537812127415,6.412488865124469
SUR,-0.201983503810136,0.07145091087112947,6.4086884323345235
SVK,-0.17977695921456363,0.07212205142284853,6.387066210109639
SVN,-0.1900222186655582,0.06944562425296281,6.396567720669085
SWE,-0.17270979168619682,0.07808910105540529,6.3813443088341995
SWZ,-0.20292377073451098,0.07339111719337185,6.409997769801451
SYC,-0.20432825910924715,0.07327722667550438,6.411351057133023
SYR,-0.16623845213232458,0.06188410737026138,6.371752869570931
TCA,-0.20505877813578452,0.07308605330622682,6.41202856137976
TCD,-0.2049287138756058,0.07303724308428362,6.411891362162103
TGO,-0.20445112613763733,0.07346026500779139,6.411508064874395
THA,0.28746784258579755,0.13956557559287142,5.945007853023463
TJK,-0.20299420078844174,0.07621804254758245,6.410633165100187
TKM,-0.13583580279355356,0.07433884900276908,6.3444731822586
TON,-0.20560473957574418,0.07303724308428362,6.412553726407488
TTO,-0.18737415145535835,0.07105636157708857,6.394295541478655
TUN,-0.16800228800850314,0.07592111369742795,6.376296284714198
TUR,0.23332358192855432,0.16674880169674106,6.0039250231417105
TUV,-0.20570190220488954,0.07300063541782621,6.4126416040296945
TWN,0.35557370473684924,0.16825785105848515,5.885350028164684
TZA,-0.18956827897489495,0.07066181228304766,6.396366252484226
UGA,-0.20369079000797596,0.07345619748929612,6.4107622954517876
UKR,-0.005989515920433732,-0.004534402138954197,6.201561759694582
URY,-0.199840785089089,0.07005981954574814,6.406310965667944
USA,6.077374518894505,-1.2095448913988067,0.0
UZB,-0.03546629279840687,0.06704985585925052,6.2447191240139315
VCT,-0.20540990022946856,0.07298843286234041,6.412353061476521
VEN,-0.1004521549691241,0.03427379182438868,6.301795563887806
VGB,-0.20530605445651956,0.07278098941908179,6.412209825900719
VNM,0.11980729989565943,0.22261616822923394,6.12729079362197
VUT,-0.205615535423427,0.07300877045481675,6.412558609337788
WLF,-0.20571629666846664,0.07300063541782621,6.412655707658811
WSM,-0.20542429469304566,0.07303317556578835,6.412376114193222
XKX,-0.18314166507570867,0.07455035996452296,6.390849982930816
YEM,-0.19614603474164066,0.06404395969124818,6.401491130862875
ZAF,0.5456217509932431,0.13376122670012533,5.692517897389985
ZMB,-0.19934623244761895,0.08026522345037315,6.407872776725213
ZWE,-0.18462840752802823,0.06803012781660989,6.390999810690627
